	# Disease ID	Disease Name	Gene ID	Gene_Name
215	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4709	NDUFB3
216	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4715	NDUFB9
217	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4719	NDUFS1
218	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4720	NDUFS2
219	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4722	NDUFS3
220	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4723	NDUFV1
221	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4724	NDUFS4
222	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4726	NDUFS6
223	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4728	NDUFS8
224	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	4729	NDUFV2
225	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	51103	NDUFAF1
226	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	55572	FOXRED1
227	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	79133	NDUFAF5
228	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	80224	NUBPL
229	C1838979	MITOCHONDRIAL COMPLEX I DEFICIENCY	91942	NDUFAF2
230	C0236969	Substance-Related Disorders	1012	CDH13
231	C0236969	Substance-Related Disorders	10160	FARP1
232	C0236969	Substance-Related Disorders	10207	PATJ
233	C0236969	Substance-Related Disorders	10257	ABCC4
234	C0236969	Substance-Related Disorders	105	ADARB2
235	C0236969	Substance-Related Disorders	1080	CFTR
236	C0236969	Substance-Related Disorders	11278	KLF12
237	C0236969	Substance-Related Disorders	1129	CHRM2
238	C0236969	Substance-Related Disorders	1138	CHRNA5
239	C0236969	Substance-Related Disorders	114134	SLC2A13
240	C0236969	Substance-Related Disorders	114786	XKR4
241	C0236969	Substance-Related Disorders	114788	CSMD3
242	C0236969	Substance-Related Disorders	121601	ANO4
243	C0236969	Substance-Related Disorders	1268	CNR1
244	C0236969	Substance-Related Disorders	140683	BPIFA2
245	C0236969	Substance-Related Disorders	140733	MACROD2
246	C0236969	Substance-Related Disorders	143098	MPP7
247	C0236969	Substance-Related Disorders	143379	C10orf82
248	C0236969	Substance-Related Disorders	143458	LDLRAD3
249	C0236969	Substance-Related Disorders	143503	OR51E1
250	C0236969	Substance-Related Disorders	147685	C19orf18
251	C0236969	Substance-Related Disorders	1565	CYP2D6
252	C0236969	Substance-Related Disorders	1653	DDX1
253	C0236969	Substance-Related Disorders	167465	ZNF366
254	C0236969	Substance-Related Disorders	1769	DNAH8
255	C0236969	Substance-Related Disorders	1793	DOCK1
256	C0236969	Substance-Related Disorders	1813	DRD2
257	C0236969	Substance-Related Disorders	1826	DSCAM
258	C0236969	Substance-Related Disorders	1962	EHHADH
259	C0236969	Substance-Related Disorders	2120	ETV6
260	C0236969	Substance-Related Disorders	2166	FAAH
261	C0236969	Substance-Related Disorders	2272	FHIT
262	C0236969	Substance-Related Disorders	22925	PLA2R1
263	C0236969	Substance-Related Disorders	22998	LIMCH1
264	C0236969	Substance-Related Disorders	23034	SAMD4A
265	C0236969	Substance-Related Disorders	23214	XPO6
266	C0236969	Substance-Related Disorders	23307	FKBP15
267	C0236969	Substance-Related Disorders	23345	SYNE1
268	C0236969	Substance-Related Disorders	253782	CERS6
269	C0236969	Substance-Related Disorders	25807	RHBDD3
270	C0236969	Substance-Related Disorders	259217	HSPA12A
271	C0236969	Substance-Related Disorders	26230	TIAM2
272	C0236969	Substance-Related Disorders	27146	FAM184B
273	C0236969	Substance-Related Disorders	2893	GRIA4
274	C0236969	Substance-Related Disorders	2898	GRIK2
275	C0236969	Substance-Related Disorders	29119	CTNNA3
276	C0236969	Substance-Related Disorders	29126	CD274
277	C0236969	Substance-Related Disorders	2915	GRM5
278	C0236969	Substance-Related Disorders	2917	GRM7
279	C0236969	Substance-Related Disorders	29922	NME7
280	C0236969	Substance-Related Disorders	344805	TMPRSS7
281	C0236969	Substance-Related Disorders	3643	INSR
282	C0236969	Substance-Related Disorders	3899	AFF3
283	C0236969	Substance-Related Disorders	3983	ABLIM1
284	C0236969	Substance-Related Disorders	401207	C5orf63
285	C0236969	Substance-Related Disorders	4482	MSRA
286	C0236969	Substance-Related Disorders	4646	MYO6
287	C0236969	Substance-Related Disorders	481	ATP1B1
288	C0236969	Substance-Related Disorders	4852	NPY
289	C0236969	Substance-Related Disorders	4897	NRCAM
290	C0236969	Substance-Related Disorders	4985	OPRD1
291	C0236969	Substance-Related Disorders	5087	PBX1
292	C0236969	Substance-Related Disorders	51082	POLR1D
293	C0236969	Substance-Related Disorders	51151	SLC45A2
294	C0236969	Substance-Related Disorders	5137	PDE1C
295	C0236969	Substance-Related Disorders	51660	MPC1
296	C0236969	Substance-Related Disorders	5366	PMAIP1
297	C0236969	Substance-Related Disorders	54927	CHCHD3
298	C0236969	Substance-Related Disorders	55198	APPL2
299	C0236969	Substance-Related Disorders	55297	CCDC91
300	C0236969	Substance-Related Disorders	55690	PACS1
301	C0236969	Substance-Related Disorders	55691	FRMD4A
302	C0236969	Substance-Related Disorders	55717	WDR11
303	C0236969	Substance-Related Disorders	55742	PARVA
304	C0236969	Substance-Related Disorders	5581	PRKCE
305	C0236969	Substance-Related Disorders	5583	PRKCH
306	C0236969	Substance-Related Disorders	55930	MYO5C
307	C0236969	Substance-Related Disorders	57451	TENM2
308	C0236969	Substance-Related Disorders	5768	QSOX1
309	C0236969	Substance-Related Disorders	57733	GBA3
310	C0236969	Substance-Related Disorders	5890	RAD51B
311	C0236969	Substance-Related Disorders	64131	XYLT1
312	C0236969	Substance-Related Disorders	64478	CSMD1
313	C0236969	Substance-Related Disorders	64866	CDCP1
314	C0236969	Substance-Related Disorders	65217	PCDH15
315	C0236969	Substance-Related Disorders	6532	SLC6A4
316	C0236969	Substance-Related Disorders	6555	SLC10A2
317	C0236969	Substance-Related Disorders	6581	SLC22A3
318	C0236969	Substance-Related Disorders	7260	EIPR1
319	C0236969	Substance-Related Disorders	79632	FAM184A
320	C0236969	Substance-Related Disorders	79750	ZNF385D
321	C0236969	Substance-Related Disorders	79809	TTC21B
322	C0236969	Substance-Related Disorders	79875	THSD4
323	C0236969	Substance-Related Disorders	80031	SEMA6D
324	C0236969	Substance-Related Disorders	80034	CSRNP3
325	C0236969	Substance-Related Disorders	80095	ZNF606
326	C0236969	Substance-Related Disorders	80206	FHOD3
327	C0236969	Substance-Related Disorders	8048	CSRP3
328	C0236969	Substance-Related Disorders	81035	COLEC12
329	C0236969	Substance-Related Disorders	83938	LRMDA
330	C0236969	Substance-Related Disorders	8412	BCAR3
331	C0236969	Substance-Related Disorders	84247	RTL6
332	C0236969	Substance-Related Disorders	84668	FAM126A
333	C0236969	Substance-Related Disorders	84871	AGBL4
334	C0236969	Substance-Related Disorders	8569	MKNK1
335	C0236969	Substance-Related Disorders	9128	PRPF4
336	C0236969	Substance-Related Disorders	91752	ZNF804A
337	C0236969	Substance-Related Disorders	9271	PIWIL1
338	C0236969	Substance-Related Disorders	93664	CADPS2
339	C0236969	Substance-Related Disorders	9369	NRXN3
340	C0236969	Substance-Related Disorders	9465	AKAP7
341	C0236969	Substance-Related Disorders	9547	CXCL14
342	C0236969	Substance-Related Disorders	9557	CHD1L
343	C0236969	Substance-Related Disorders	9748	SLK
344	C0002878	Anemia, Hemolytic	2056	EPO
345	C0002878	Anemia, Hemolytic	2539	G6PD
346	C0002878	Anemia, Hemolytic	2729	GCLC
347	C0002878	Anemia, Hemolytic	2821	GPI
348	C0002878	Anemia, Hemolytic	2936	GSR
349	C0002878	Anemia, Hemolytic	3043	HBB
350	C0002878	Anemia, Hemolytic	3162	HMOX1
351	C0002878	Anemia, Hemolytic	3440	IFNA2
352	C0002878	Anemia, Hemolytic	3704	ITPA
353	C0002878	Anemia, Hemolytic	6521	SLC4A1
354	C0002878	Anemia, Hemolytic	6710	SPTB
355	C0002878	Anemia, Hemolytic	7167	TPI1
356	C0003873	Rheumatoid Arthritis	100506023	LOC100506023
357	C0003873	Rheumatoid Arthritis	10057	ABCC5
358	C0003873	Rheumatoid Arthritis	10125	RASGRP1
360	C0003873	Rheumatoid Arthritis	1021	CDK6
361	C0003873	Rheumatoid Arthritis	10257	ABCC4
362	C0003873	Rheumatoid Arthritis	10274	STAG1
363	C0003873	Rheumatoid Arthritis	10586	MAB21L2
364	C0003873	Rheumatoid Arthritis	10628	TXNIP
365	C0003873	Rheumatoid Arthritis	10665	TSBP1
366	C0003873	Rheumatoid Arthritis	10666	CD226
367	C0003873	Rheumatoid Arthritis	10678	B3GNT2
368	C0003873	Rheumatoid Arthritis	10745	PHTF1
369	C0003873	Rheumatoid Arthritis	10956	OS9
370	C0003873	Rheumatoid Arthritis	11102	RPP14
371	C0003873	Rheumatoid Arthritis	11170	FAM107A
372	C0003873	Rheumatoid Arthritis	117289	TAGAP
373	C0003873	Rheumatoid Arthritis	122618	PLD4
374	C0003873	Rheumatoid Arthritis	1235	CCR6
375	C0003873	Rheumatoid Arthritis	1244	ABCC2
376	C0003873	Rheumatoid Arthritis	130540	FLACC1
377	C0003873	Rheumatoid Arthritis	135	ADORA2A
378	C0003873	Rheumatoid Arthritis	1356	CP
379	C0003873	Rheumatoid Arthritis	1401	CRP
380	C0003873	Rheumatoid Arthritis	1404	HAPLN1
381	C0003873	Rheumatoid Arthritis	1437	CSF2
382	C0003873	Rheumatoid Arthritis	1490	CCN2
383	C0003873	Rheumatoid Arthritis	1493	CTLA4
384	C0003873	Rheumatoid Arthritis	150577	LINC01104
385	C0003873	Rheumatoid Arthritis	1509	CTSD
386	C0003873	Rheumatoid Arthritis	151056	PLB1
387	C0003873	Rheumatoid Arthritis	156	GRK2
388	C0003873	Rheumatoid Arthritis	160364	CLEC12A
389	C0003873	Rheumatoid Arthritis	1656	DDX6
390	C0003873	Rheumatoid Arthritis	1687	GSDME
391	C0003873	Rheumatoid Arthritis	171425	CLYBL
392	C0003873	Rheumatoid Arthritis	1719	DHFR
393	C0003873	Rheumatoid Arthritis	176	ACAN
394	C0003873	Rheumatoid Arthritis	177	AGER
395	C0003873	Rheumatoid Arthritis	1776	DNASE1L3
396	C0003873	Rheumatoid Arthritis	1803	DPP4
397	C0003873	Rheumatoid Arthritis	1827	RCAN1
398	C0003873	Rheumatoid Arthritis	196	AHR
399	C0003873	Rheumatoid Arthritis	200734	SPRED2
400	C0003873	Rheumatoid Arthritis	2023	ENO1
401	C0003873	Rheumatoid Arthritis	2147	F2
402	C0003873	Rheumatoid Arthritis	219790	RTKN2
403	C0003873	Rheumatoid Arthritis	2212	FCGR2A
404	C0003873	Rheumatoid Arthritis	221895	JAZF1
405	C0003873	Rheumatoid Arthritis	22806	IKZF3
406	C0003873	Rheumatoid Arthritis	2289	FKBP5
407	C0003873	Rheumatoid Arthritis	23228	PLCL2
408	C0003873	Rheumatoid Arthritis	23534	TNPO3
409	C0003873	Rheumatoid Arthritis	2356	FPGS
410	C0003873	Rheumatoid Arthritis	23569	PADI4
411	C0003873	Rheumatoid Arthritis	23643	LY96
413	C0003873	Rheumatoid Arthritis	240	ALOX5
414	C0003873	Rheumatoid Arthritis	26147	PHF19
415	C0003873	Rheumatoid Arthritis	2618	GART
416	C0003873	Rheumatoid Arthritis	26191	PTPN22
417	C0003873	Rheumatoid Arthritis	2625	GATA3
418	C0003873	Rheumatoid Arthritis	2638	GC
419	C0003873	Rheumatoid Arthritis	285704	RGMB
420	C0003873	Rheumatoid Arthritis	2870	GRK6
421	C0003873	Rheumatoid Arthritis	2920	CXCL2
422	C0003873	Rheumatoid Arthritis	2974	GUCY1B2
423	C0003873	Rheumatoid Arthritis	3059	HCLS1
424	C0003873	Rheumatoid Arthritis	306	ANXA3
425	C0003873	Rheumatoid Arthritis	3115	HLA-DPB1
426	C0003873	Rheumatoid Arthritis	3118	HLA-DQA2
427	C0003873	Rheumatoid Arthritis	3123	HLA-DRB1
428	C0003873	Rheumatoid Arthritis	3236	HOXD10
429	C0003873	Rheumatoid Arthritis	3237	HOXD11
430	C0003873	Rheumatoid Arthritis	3239	HOXD13
431	C0003873	Rheumatoid Arthritis	326	AIRE
432	C0003873	Rheumatoid Arthritis	3290	HSD11B1
433	C0003873	Rheumatoid Arthritis	3394	IRF8
434	C0003873	Rheumatoid Arthritis	342132	ZNF774
435	C0003873	Rheumatoid Arthritis	3458	IFNG
436	C0003873	Rheumatoid Arthritis	3486	IGFBP3
437	C0003873	Rheumatoid Arthritis	3491	CCN1
438	C0003873	Rheumatoid Arthritis	3516	RBPJ
439	C0003873	Rheumatoid Arthritis	3553	IL1B
440	C0003873	Rheumatoid Arthritis	3557	IL1RN
441	C0003873	Rheumatoid Arthritis	3559	IL2RA
442	C0003873	Rheumatoid Arthritis	356	FASLG
443	C0003873	Rheumatoid Arthritis	3560	IL2RB
444	C0003873	Rheumatoid Arthritis	3569	IL6
445	C0003873	Rheumatoid Arthritis	3570	IL6R
446	C0003873	Rheumatoid Arthritis	3572	IL6ST
447	C0003873	Rheumatoid Arthritis	3576	CXCL8
448	C0003873	Rheumatoid Arthritis	3586	IL10
449	C0003873	Rheumatoid Arthritis	3606	IL18
450	C0003873	Rheumatoid Arthritis	3654	IRAK1
451	C0003873	Rheumatoid Arthritis	3655	ITGA6
452	C0003873	Rheumatoid Arthritis	3663	IRF5
453	C0003873	Rheumatoid Arthritis	3798	KIF5A
454	C0003873	Rheumatoid Arthritis	3899	AFF3
455	C0003873	Rheumatoid Arthritis	3934	LCN2
456	C0003873	Rheumatoid Arthritis	4082	MARCKS
457	C0003873	Rheumatoid Arthritis	412	STS
458	C0003873	Rheumatoid Arthritis	4204	MECP2
459	C0003873	Rheumatoid Arthritis	4218	RAB8A
460	C0003873	Rheumatoid Arthritis	4261	CIITA
461	C0003873	Rheumatoid Arthritis	4282	MIF
462	C0003873	Rheumatoid Arthritis	4313	MMP2
463	C0003873	Rheumatoid Arthritis	4319	MMP10
464	C0003873	Rheumatoid Arthritis	4321	MMP12
465	C0003873	Rheumatoid Arthritis	4353	MPO
466	C0003873	Rheumatoid Arthritis	4520	MTF1
467	C0003873	Rheumatoid Arthritis	4524	MTHFR
468	C0003873	Rheumatoid Arthritis	4688	NCF2
469	C0003873	Rheumatoid Arthritis	471	ATIC
470	C0003873	Rheumatoid Arthritis	4794	NFKBIE
471	C0003873	Rheumatoid Arthritis	4795	NFKBIL1
472	C0003873	Rheumatoid Arthritis	4982	TNFRSF11B
473	C0003873	Rheumatoid Arthritis	50943	FOXP3
474	C0003873	Rheumatoid Arthritis	5138	PDE2A
475	C0003873	Rheumatoid Arthritis	51561	IL23A
476	C0003873	Rheumatoid Arthritis	51744	CD244
477	C0003873	Rheumatoid Arthritis	5243	ABCB1
478	C0003873	Rheumatoid Arthritis	53347	UBASH3A
479	C0003873	Rheumatoid Arthritis	5341	PLEK
480	C0003873	Rheumatoid Arthritis	5444	PON1
481	C0003873	Rheumatoid Arthritis	5453	POU3F1
482	C0003873	Rheumatoid Arthritis	54541	DDIT4
483	C0003873	Rheumatoid Arthritis	54826	GIN1
484	C0003873	Rheumatoid Arthritis	54899	PXK
485	C0003873	Rheumatoid Arthritis	55289	ACOXL
486	C0003873	Rheumatoid Arthritis	55755	CDK5RAP2
487	C0003873	Rheumatoid Arthritis	5583	PRKCH
488	C0003873	Rheumatoid Arthritis	5588	PRKCQ
489	C0003873	Rheumatoid Arthritis	55937	APOM
490	C0003873	Rheumatoid Arthritis	55971	BAIAP2L1
491	C0003873	Rheumatoid Arthritis	56244	BTNL2
492	C0003873	Rheumatoid Arthritis	5673	PSG5
493	C0003873	Rheumatoid Arthritis	56901	NDUFA4L2
494	C0003873	Rheumatoid Arthritis	57007	ACKR3
495	C0003873	Rheumatoid Arthritis	5743	PTGS2
496	C0003873	Rheumatoid Arthritis	5747	PTK2
497	C0003873	Rheumatoid Arthritis	57705	WDFY4
498	C0003873	Rheumatoid Arthritis	5771	PTPN2
499	C0003873	Rheumatoid Arthritis	57719	ANO8
500	C0003873	Rheumatoid Arthritis	5788	PTPRC
501	C0003873	Rheumatoid Arthritis	5890	RAD51B
502	C0003873	Rheumatoid Arthritis	5911	RAP2A
503	C0003873	Rheumatoid Arthritis	5966	REL
504	C0003873	Rheumatoid Arthritis	597	BCL2A1
505	C0003873	Rheumatoid Arthritis	624	BDKRB2
506	C0003873	Rheumatoid Arthritis	633	BGN
